number,learning_rate,subsample,max_depth,colsample_bytree,min_child_weight,value,std_err
275,0.4,0.5,5,0.75,3,0.8654360197337182,0.0011171725626518186
276,0.05,0.7,5,0.75,3,0.8875850233138972,0.0017506872030902823
277,0.1,0.7,5,0.75,3,0.886382707593398,0.0010223394767820697
278,0.2,0.7,5,0.75,3,0.8799343198609713,0.0013292205408705119
279,0.4,0.7,5,0.75,3,0.8690769762207745,0.0010012924202172067
280,0.05,0.85,5,0.75,3,0.8878656744411312,0.0016272498579205934
281,0.1,0.85,5,0.75,3,0.8869785533513134,0.0016067363258366004
282,0.2,0.85,5,0.75,3,0.8830196126379366,8.374038261318554e-4
283,0.4,0.85,5,0.75,3,0.8736979413971244,0.0017616033929598457
284,0.05,1,5,0.75,3,0.8865580366469773,0.0016265525411284418
285,0.1,1,5,0.75,3,0.8856876234544453,0.00173342163223131
286,0.2,1,5,0.75,3,0.8850241151640045,0.0011734289473687629
287,0.4,1,5,0.75,3,0.8731736754762492,0.0012841677000282594
288,0.05,0.5,7,0.75,3,0.890256743699075,0.0013589259080222466
289,0.1,0.5,7,0.75,3,0.8862644168676759,0.0012006999562718529
290,0.2,0.5,7,0.75,3,0.876951262796528,8.469189529701559e-4
291,0.4,0.5,7,0.75,3,0.8659850952498528,0.0014780759134855807
292,0.05,0.7,7,0.75,3,0.8911003886440904,0.0012441780559124796
293,0.1,0.7,7,0.75,3,0.8870150851835673,0.0012013596344591464
294,0.2,0.7,7,0.75,3,0.8795091142618374,0.001168684439722471
295,0.4,0.7,7,0.75,3,0.8715529500864181,0.0016818081115816533
296,0.05,0.85,7,0.75,3,0.8903554479022241,0.0013771160826698328
297,0.1,0.85,7,0.75,3,0.887489672560825,0.0014783924484904464
298,0.2,0.85,7,0.75,3,0.8818098481035498,0.0013274708846286137
299,0.4,0.85,7,0.75,3,0.8747829457180301,0.001471385295405112
300,0.05,1,7,0.75,3,0.889773906241097,0.0011540997954182035
301,0.1,1,7,0.75,3,0.8875353744468292,6.477288465031458e-4
302,0.2,1,7,0.75,3,0.8825287625116331,0.0010428291762961538
303,0.4,1,7,0.75,3,0.8769415288883402,0.0019989712771278714
304,0.05,0.5,9,0.75,3,0.8915706729216919,0.001108104440080125
305,0.1,0.5,9,0.75,3,0.8865793147328636,8.094415186600681e-4
306,0.2,0.5,9,0.75,3,0.8785983706387342,0.0018413866212760967
307,0.4,0.5,9,0.75,3,0.8686688643140681,0.0024953029809355203
308,0.05,0.7,9,0.75,3,0.8910604440086608,0.0011251519597652547
309,0.1,0.7,9,0.75,3,0.8870733699264971,7.496094916438835e-4
310,0.2,0.7,9,0.75,3,0.8823794894683862,0.0016752150521855017
311,0.4,0.7,9,0.75,3,0.8741139175894095,0.0013239727487234885
312,0.05,0.85,9,0.75,3,0.8911383449507132,8.631009150259168e-4
313,0.1,0.85,9,0.75,3,0.8885347915993999,0.001227768783321107
314,0.2,0.85,9,0.75,3,0.8834230059732958,0.0010240152290904836
315,0.4,0.85,9,0.75,3,0.8757530127632903,0.001987890305239412
316,0.05,1,9,0.75,3,0.8895060160300848,8.912429183912659e-4
317,0.1,1,9,0.75,3,0.8865811250023741,0.0010086422312163535
318,0.2,1,9,0.75,3,0.8840233625667129,9.155026815825514e-4
319,0.4,1,9,0.75,3,0.879216503485214,0.0014505681431152043
320,0.05,0.5,3,0.9,3,0.8759664168296898,0.0021264823630649664
321,0.1,0.5,3,0.9,3,0.8791489893354352,0.0018991607875860816
322,0.2,0.5,3,0.9,3,0.8801066515830658,0.0019123300623947988
323,0.4,0.5,3,0.9,3,0.8730377568802112,0.001218456965040234
324,0.05,0.7,3,0.9,3,0.8752250669502953,0.002133242678143711
325,0.1,0.7,3,0.9,3,0.8796435193538584,0.002024289455176516
326,0.2,0.7,3,0.9,3,0.880330353412091,0.0019539100707021066
327,0.4,0.7,3,0.9,3,0.873482103853678,0.0018297347940742599
328,0.05,0.85,3,0.9,3,0.874225085943287,0.0019329233058367832
329,0.1,0.85,3,0.9,3,0.8783149595924103,0.0019702169533398458
330,0.2,0.85,3,0.9,3,0.8797279788133179,0.001889224892827999
331,0.4,0.85,3,0.9,3,0.8765095570359537,8.696094697824833e-4
332,0.05,1,3,0.9,3,0.8725409417674878,0.0021354587948982607
333,0.1,1,3,0.9,3,0.8780700093540483,0.0017503846143371352
334,0.2,1,3,0.9,3,0.8788962935176919,0.002257180246349831
335,0.4,1,3,0.9,3,0.876482699758789,0.002241340888621737
336,0.05,0.5,5,0.9,3,0.887402809300868,0.0014920513927376576
337,0.1,0.5,5,0.9,3,0.8859288344475889,0.0014975041986884845
338,0.2,0.5,5,0.9,3,0.8781041967389034,6.0836352979847e-4
339,0.4,0.5,5,0.9,3,0.8635994568004407,0.0017416688919865242
340,0.05,0.7,5,0.9,3,0.8875870413192531,0.0011786897322422466
341,0.1,0.7,5,0.9,3,0.885919783100036,0.0011212224365507665
342,0.2,0.7,5,0.9,3,0.8802378219312074,0.0010911505487264021
