number,min_impurity_decrease,min_weight_fraction_leaf,max_depth,min_samples_split,value,std_err
382,0.02,0.2,3,10,0.7096584149140475,0.0016178934983648063
383,0.05,0.2,3,10,0.7096584149140475,0.0016178934983648063
384,0.1,0.2,3,10,0.7096584149140475,0.0016178934983648063
385,0,0,5,10,0.8615505800427811,0.0031028270152479785
386,0.001,0,5,10,0.8586474776336128,0.003165705502361674
387,0.005,0,5,10,0.8430291914531516,0.002731299728219324
388,0.01,0,5,10,0.785135749918029,0.003256034617293838
389,0.02,0,5,10,0.781184725670211,0.0014119544896617168
390,0.05,0,5,10,0.7096584149140475,0.0016178934983648063
391,0.1,0,5,10,0.7096584149140475,0.0016178934983648063
392,0,0.01,5,10,0.8536452429465861,0.0032680675024500372
393,0.001,0.01,5,10,0.8536448135744064,0.0032678444708076925
394,0.005,0.01,5,10,0.8345968097647041,0.008494914936567786
395,0.01,0.01,5,10,0.785135749918029,0.003256034617293838
396,0.02,0.01,5,10,0.781184725670211,0.0014119544896617168
397,0.05,0.01,5,10,0.7096584149140475,0.0016178934983648063
398,0.1,0.01,5,10,0.7096584149140475,0.0016178934983648063
399,0,0.05,5,10,0.8119041680328509,9.889846017561337e-4
400,0.001,0.05,5,10,0.8115039638858963,8.627809184130266e-4
401,0.005,0.05,5,10,0.8098871043920871,0.0010345526234371365
402,0.01,0.05,5,10,0.7752021855043952,0.0015463837738634724
403,0.02,0.05,5,10,0.7748513786750355,0.001501228888388237
404,0.05,0.05,5,10,0.7096584149140475,0.0016178934983648063
405,0.1,0.05,5,10,0.7096584149140475,0.0016178934983648063
406,0,0.1,5,10,0.7698045478320609,0.0017262719023831553
407,0.001,0.1,5,10,0.7698045478320609,0.0017262719023831553
408,0.005,0.1,5,10,0.7698045478320609,0.0017262719023831553
409,0.01,0.1,5,10,0.7698045478320609,0.0017262719023831553
410,0.02,0.1,5,10,0.7698045478320609,0.0017262719023831553
411,0.05,0.1,5,10,0.7096584149140475,0.0016178934983648063
412,0.1,0.1,5,10,0.7096584149140475,0.0016178934983648063
413,0,0.2,5,10,0.7096584149140475,0.0016178934983648063
414,0.001,0.2,5,10,0.7096584149140475,0.0016178934983648063
415,0.005,0.2,5,10,0.7096584149140475,0.0016178934983648063
416,0.01,0.2,5,10,0.7096584149140475,0.0016178934983648063
417,0.02,0.2,5,10,0.7096584149140475,0.0016178934983648063
418,0.05,0.2,5,10,0.7096584149140475,0.0016178934983648063
419,0.1,0.2,5,10,0.7096584149140475,0.0016178934983648063
420,0,0,8,10,0.8813941324339938,0.001861650686743857
421,0.001,0,8,10,0.8713298437085265,0.0016357217463062585
422,0.005,0,8,10,0.8463688873015129,0.001070221825563589
423,0.01,0,8,10,0.785135749918029,0.003256034617293838
424,0.02,0,8,10,0.781184725670211,0.0014119544896617168
425,0.05,0,8,10,0.7096584149140475,0.0016178934983648063
426,0.1,0,8,10,0.7096584149140475,0.0016178934983648063
427,0,0.01,8,10,0.8615993625774822,0.0018616958479939442
428,0.001,0.01,8,10,0.8612126738957329,0.0018494974278763033
429,0.005,0.01,8,10,0.8378953249176386,0.006482791483773221
430,0.01,0.01,8,10,0.785135749918029,0.003256034617293838
