model_number,model_type,draw,metric,Q_i,U_i
model_2,xgboost,4,f1,0.8630562211336716,2.3421210324383883e-6
model_2,xgboost,5,precision,0.9688728705929387,1.0296676013625847e-7
model_2,xgboost,5,recall,0.7780396357793251,8.3305704489924e-6
model_2,xgboost,5,roc_auc,0.8396085796793858,3.4491986359650545e-6
model_2,xgboost,5,accuracy,0.7745027714378873,6.879293645057171e-6
model_2,xgboost,5,f1,0.8630215717244676,3.313787593812706e-6
model_2,xgboost,6,precision,0.9686775819695672,2.295718638774261e-7
model_2,xgboost,6,recall,0.7785395465095518,9.10580375931419e-6
model_2,xgboost,6,roc_auc,0.8394334233400428,3.2017868180371236e-6
model_2,xgboost,6,accuracy,0.7747962178024128,7.53894465830985e-6
model_2,xgboost,6,f1,0.8632502659225091,3.6204146666394046e-6
model_2,xgboost,7,precision,0.9683202446046002,3.502451311977184e-8
model_2,xgboost,7,recall,0.7781824674165327,6.61625928825609e-6
model_2,xgboost,7,roc_auc,0.8395085908339204,3.817236866818366e-6
model_2,xgboost,7,accuracy,0.7742093250733616,5.041732361564493e-6
model_2,xgboost,7,f1,0.8628918043715108,2.472331648942749e-6
model_2,xgboost,8,precision,0.968694183282966,7.649354380679898e-8
model_2,xgboost,8,recall,0.7789680414211748,7.427194132605831e-6
model_2,xgboost,8,roc_auc,0.83961082398513,3.6350680880899596e-6
model_2,xgboost,8,accuracy,0.7751874796217803,6.001176421935952e-6
model_2,xgboost,8,f1,0.8635225024771833,2.8968214694246555e-6
model_2,xgboost,9,precision,0.968521086030086,8.547271935416867e-8
model_2,xgboost,9,recall,0.7778610962328155,8.101060587383939e-6
model_2,xgboost,9,roc_auc,0.8396848190804845,3.491825679870612e-6
model_2,xgboost,9,accuracy,0.7740789044669057,6.735775696968346e-6
model_2,xgboost,9,f1,0.8627725908616694,3.2375025208731675e-6
model_2,xgboost,10,precision,0.968626513554047,1.2208073889008127e-7
model_2,xgboost,10,recall,0.7793608284234959,8.279568257523866e-6
model_2,xgboost,10,roc_auc,0.8397118177436153,3.3465691916740015e-6
model_2,xgboost,10,accuracy,0.7754809259863058,5.957057941597579e-6
model_2,xgboost,10,f1,0.8637344019765801,2.958112003043302e-6
model_2,xgboost,11,precision,0.9686329803999664,1.4546240297596943e-7
model_2,xgboost,11,recall,0.7773968934118908,6.940760731474646e-6
model_2,xgboost,11,roc_auc,0.839795694483664,3.3134381482401705e-6
model_2,xgboost,11,accuracy,0.7737528529507662,5.712545881890661e-6
model_2,xgboost,11,f1,0.8625326572510215,2.7525177863273243e-6
model_2,xgboost,12,precision,0.9688221822207509,1.328373810321261e-7
model_2,xgboost,12,recall,0.7789323335118729,1.0571479236641257e-5
model_2,xgboost,12,roc_auc,0.8397431040356301,3.408698336532823e-6
model_2,xgboost,12,accuracy,0.7752526899250082,8.474469060666468e-6
model_2,xgboost,12,f1,0.8635468710823824,4.101846120139111e-6
model_2,xgboost,13,precision,0.9686795815628343,1.1951814390800745e-7
model_2,xgboost,13,recall,0.7785752544188538,7.243586243319101e-6
model_2,xgboost,13,roc_auc,0.8397089369929586,3.3325894182652954e-6
model_2,xgboost,13,accuracy,0.7748288229540268,5.752411978582067e-6
model_2,xgboost,13,f1,0.8632752788452571,2.7910096914858066e-6
model_2,xgboost,14,precision,0.9689175375770753,1.7562034825535304e-7
model_2,xgboost,14,recall,0.7791822888769863,7.814173260373413e-6
model_2,xgboost,14,roc_auc,0.8396867619123226,3.5830457964648313e-6
model_2,xgboost,14,accuracy,0.7755461362895337,6.477974938364385e-6
model_2,xgboost,14,f1,0.8637424704717971,3.098131619610758e-6
